Frame,x,y
1,0.003,0.0
2,0.003,-0.0
3,0.003,0.0
4,0.004,0.001
5,0.005,0.002
6,0.005,0.002
7,0.005,0.003
8,0.004,0.006
9,0.003,0.011
10,0.002,0.016
11,0.001,0.025
12,0.0,0.038
13,0.0,0.052
14,0.001,0.063
15,0.003,0.07
16,0.006,0.072
17,0.01,0.066
18,0.017,0.053
19,0.027,0.036
20,0.04,0.02
21,0.054,0.012
22,0.063,0.009
23,0.068,0.009
24,0.069,0.024
25,0.069,0.064
26,0.068,0.118
27,0.066,0.175
28,0.067,0.219
29,0.073,0.242
30,0.083,0.244
31,0.098,0.229
32,0.116,0.206
33,0.137,0.181
34,0.158,0.162
35,0.178,0.155
36,0.195,0.17
37,0.204,0.207
38,0.203,0.262
39,0.2,0.327
40,0.205,0.389
41,0.215,0.431
42,0.226,0.439
43,0.24,0.42
44,0.258,0.384
45,0.281,0.341
46,0.309,0.298
47,0.338,0.262
48,0.363,0.24
49,0.38,0.236
50,0.387,0.253
51,0.387,0.288
52,0.383,0.34
53,0.382,0.405
54,0.387,0.466
55,0.397,0.498
56,0.412,0.496
57,0.429,0.474
58,0.453,0.442
59,0.483,0.409
60,0.516,0.383
61,0.545,0.374
62,0.565,0.382
63,0.574,0.41
64,0.577,0.459
65,0.579,0.527
66,0.584,0.594
67,0.594,0.642
68,0.609,0.663
69,0.629,0.656
70,0.651,0.632
71,0.675,0.603
72,0.7,0.579
73,0.725,0.569
74,0.743,0.575
75,0.754,0.612
76,0.757,0.694
77,0.759,0.794
78,0.768,0.868
79,0.781,0.906
80,0.795,0.914
81,0.811,0.899
82,0.83,0.868
83,0.853,0.834
84,0.875,0.809
85,0.89,0.798
86,0.895,0.806
87,0.891,0.843
88,0.886,0.905
89,0.882,0.96
90,0.885,0.992
91,0.896,1.0
92,0.916,1.0
93,0.938,0.993
94,0.959,0.977
95,0.977,0.956
96,0.99,0.938
97,0.997,0.933
98,1.0,0.943
99,1.0,0.967
100,1.0,0.989
