Frame,x,y
1,0.011,0.614
2,0.013,0.616
3,0.023,0.611
4,0.047,0.59
5,0.079,0.559
6,0.101,0.539
7,0.102,0.542
8,0.097,0.547
9,0.111,0.524
10,0.148,0.468
11,0.179,0.419
12,0.183,0.41
13,0.176,0.42
14,0.19,0.406
15,0.238,0.35
16,0.303,0.27
17,0.365,0.19
18,0.412,0.126
19,0.435,0.096
20,0.433,0.099
21,0.43,0.103
22,0.446,0.077
23,0.483,0.03
24,0.531,0.0
25,0.577,0.0
26,0.608,0.014
27,0.614,0.019
28,0.607,0.015
29,0.616,0.019
30,0.663,0.046
31,0.736,0.1
32,0.817,0.182
33,0.888,0.273
34,0.932,0.333
35,0.938,0.34
36,0.931,0.328
37,0.94,0.349
38,0.971,0.413
39,0.999,0.486
40,1.0,0.54
41,0.993,0.57
42,0.989,0.582
43,0.994,0.581
44,0.991,0.579
45,0.965,0.583
46,0.91,0.589
47,0.821,0.59
48,0.715,0.583
49,0.635,0.574
50,0.62,0.571
51,0.636,0.573
52,0.613,0.573
53,0.517,0.568
54,0.383,0.563
55,0.255,0.558
56,0.158,0.557
57,0.11,0.556
58,0.11,0.556
59,0.119,0.556
60,0.092,0.557
61,0.037,0.562
62,0.0,0.574
63,0.003,0.596
64,0.026,0.615
65,0.036,0.62
66,0.029,0.615
67,0.034,0.62
68,0.071,0.65
69,0.128,0.702
70,0.183,0.769
71,0.225,0.837
72,0.249,0.881
73,0.254,0.888
74,0.25,0.88
75,0.253,0.892
76,0.268,0.933
77,0.291,0.977
78,0.317,0.998
79,0.336,1.0
80,0.34,1.0
81,0.332,1.0
82,0.336,1.0
83,0.373,0.985
84,0.426,0.959
85,0.459,0.946
86,0.456,0.949
87,0.451,0.95
88,0.478,0.929
89,0.536,0.885
90,0.601,0.827
91,0.658,0.763
92,0.715,0.698
93,0.781,0.634
94,0.847,0.579
95,0.888,0.549
96,0.891,0.547
97,0.884,0.553
98,0.897,0.539
99,0.933,0.505
100,0.966,0.474
