Frame,x,y
1,0.76,0.0
2,0.758,0.02
3,0.754,0.05
4,0.749,0.087
5,0.741,0.13
6,0.731,0.174
7,0.72,0.22
8,0.709,0.264
9,0.699,0.306
10,0.691,0.344
11,0.683,0.382
12,0.669,0.424
13,0.647,0.478
14,0.613,0.547
15,0.568,0.629
16,0.518,0.711
17,0.47,0.784
18,0.429,0.838
19,0.397,0.869
20,0.37,0.886
21,0.347,0.892
22,0.323,0.897
23,0.297,0.901
24,0.271,0.906
25,0.244,0.908
26,0.219,0.906
27,0.194,0.9
28,0.172,0.89
29,0.15,0.876
30,0.131,0.859
31,0.112,0.838
32,0.095,0.814
33,0.079,0.787
34,0.064,0.759
35,0.05,0.729
36,0.038,0.696
37,0.027,0.661
38,0.018,0.621
39,0.011,0.578
40,0.006,0.535
41,0.003,0.497
42,0.0,0.472
43,0.0,0.463
44,0.0,0.466
45,0.0,0.472
46,-0.0,0.472
47,0.001,0.456
48,0.002,0.426
49,0.004,0.386
50,0.007,0.342
51,0.011,0.301
52,0.016,0.264
53,0.023,0.23
54,0.03,0.199
55,0.038,0.17
56,0.047,0.143
57,0.058,0.117
58,0.069,0.095
59,0.081,0.076
60,0.095,0.061
61,0.108,0.049
62,0.122,0.04
63,0.134,0.033
64,0.146,0.028
65,0.161,0.028
66,0.181,0.036
67,0.211,0.055
68,0.252,0.087
69,0.3,0.129
70,0.349,0.174
71,0.391,0.219
72,0.423,0.258
73,0.446,0.293
74,0.465,0.326
75,0.483,0.361
76,0.505,0.402
77,0.531,0.446
78,0.559,0.491
79,0.588,0.537
80,0.615,0.579
81,0.64,0.618
82,0.663,0.654
83,0.686,0.689
84,0.708,0.721
85,0.729,0.752
86,0.751,0.783
87,0.772,0.813
88,0.794,0.842
89,0.816,0.87
90,0.838,0.897
91,0.858,0.921
92,0.878,0.942
93,0.895,0.958
94,0.912,0.971
95,0.928,0.981
96,0.944,0.988
97,0.961,0.993
98,0.977,0.997
99,0.991,0.999
100,1.0,1.0
