Frame,x,y
1,0.043,0.458
2,0.043,0.455
3,0.043,0.455
4,0.043,0.453
5,0.047,0.453
6,0.047,0.453
7,0.05,0.453
8,0.05,0.453
9,0.053,0.453
10,0.057,0.455
11,0.06,0.455
12,0.06,0.455
13,0.063,0.458
14,0.063,0.458
15,0.067,0.458
16,0.073,0.453
17,0.083,0.439
18,0.1,0.423
19,0.12,0.404
20,0.147,0.379
21,0.177,0.35
22,0.203,0.325
23,0.23,0.295
24,0.26,0.266
25,0.293,0.233
26,0.323,0.201
27,0.353,0.171
28,0.38,0.138
29,0.41,0.111
30,0.44,0.087
31,0.47,0.062
32,0.493,0.043
33,0.513,0.027
34,0.53,0.014
35,0.54,0.005
36,0.55,-0.0
37,0.557,0.0
38,0.56,0.0
39,0.563,0.005
40,0.567,0.014
41,0.577,0.024
42,0.587,0.041
43,0.603,0.06
44,0.627,0.084
45,0.65,0.114
46,0.68,0.146
47,0.71,0.184
48,0.747,0.225
49,0.78,0.268
50,0.817,0.314
51,0.85,0.36
52,0.88,0.407
53,0.913,0.447
54,0.943,0.482
55,0.963,0.512
56,0.983,0.537
57,0.997,0.55
58,1.0,0.561
59,0.997,0.566
60,0.993,0.566
61,0.98,0.569
62,0.96,0.575
63,0.933,0.585
64,0.897,0.607
65,0.86,0.64
66,0.813,0.678
67,0.76,0.721
68,0.71,0.767
69,0.657,0.816
70,0.603,0.862
71,0.56,0.9
72,0.49,0.951
73,0.47,0.97
74,0.47,0.97
75,0.453,0.984
76,0.437,0.995
77,0.423,1.0
78,0.417,0.997
79,0.407,0.992
80,0.393,0.981
81,0.38,0.959
82,0.363,0.935
83,0.337,0.908
84,0.273,0.843
85,0.24,0.805
86,0.207,0.767
87,0.17,0.726
88,0.17,0.726
89,0.137,0.688
90,0.11,0.642
91,0.09,0.602
92,0.067,0.564
93,0.05,0.528
94,0.033,0.499
95,0.02,0.472
96,0.003,0.434
97,0.0,0.417
98,0.003,0.412
99,0.007,0.412
100,0.01,0.412
