Frame,x,y
1,0.069,0.948
2,0.074,0.948
3,0.072,0.95
4,0.068,0.952
5,0.069,0.952
6,0.069,0.957
7,0.07,0.955
8,0.067,0.949
9,0.063,0.943
10,0.063,0.933
11,0.06,0.914
12,0.054,0.892
13,0.049,0.866
14,0.044,0.836
15,0.034,0.803
16,0.027,0.769
17,0.023,0.73
18,0.019,0.685
19,0.019,0.635
20,0.015,0.584
21,0.013,0.536
22,0.013,0.491
23,0.007,0.448
24,0.001,0.406
25,-0.0,0.356
26,-0.0,0.303
27,-0.0,0.257
28,0.01,0.216
29,0.016,0.181
30,0.022,0.149
31,0.031,0.12
32,0.032,0.097
33,0.03,0.074
34,0.033,0.053
35,0.039,0.037
36,0.043,0.024
37,0.048,0.013
38,0.052,0.004
39,0.059,0.0
40,0.068,-0.0
41,0.077,0.0
42,0.092,0.0
43,0.114,-0.0
44,0.138,0.0
45,0.162,0.003
46,0.193,0.004
47,0.23,0.005
48,0.268,0.01
49,0.306,0.016
50,0.348,0.022
51,0.395,0.031
52,0.444,0.047
53,0.497,0.067
54,0.556,0.086
55,0.609,0.111
56,0.656,0.144
57,0.703,0.182
58,0.747,0.216
59,0.793,0.261
60,0.843,0.306
61,0.891,0.345
62,0.934,0.388
63,0.972,0.434
64,0.995,0.482
65,1.0,0.533
66,0.995,0.586
67,0.979,0.643
68,0.954,0.696
69,0.921,0.744
70,0.876,0.79
71,0.822,0.831
72,0.748,0.867
73,0.674,0.897
74,0.613,0.923
75,0.55,0.943
76,0.491,0.961
77,0.433,0.975
78,0.376,0.984
79,0.322,0.99
80,0.274,0.994
81,0.225,0.998
82,0.179,1.0
83,0.14,1.0
84,0.105,1.0
85,0.078,0.998
86,0.056,0.995
87,0.038,0.991
88,0.027,0.988
89,0.024,0.987
90,0.026,0.987
91,0.032,0.987
92,0.042,0.986
93,0.048,0.993
94,0.054,0.997
95,0.066,0.996
96,0.081,0.996
97,0.091,0.996
98,0.099,0.994
99,0.112,0.99
100,0.126,0.987
