Frame,x,y
1,0.991,1.0
2,0.964,0.997
3,0.926,0.993
4,0.882,0.989
5,0.834,0.986
6,0.785,0.984
7,0.74,0.984
8,0.698,0.986
9,0.659,0.99
10,0.621,0.994
11,0.584,0.997
12,0.547,1.0
13,0.508,1.0
14,0.468,1.0
15,0.428,0.998
16,0.389,0.995
17,0.35,0.991
18,0.314,0.987
19,0.28,0.981
20,0.249,0.976
21,0.222,0.97
22,0.198,0.963
23,0.178,0.956
24,0.162,0.948
25,0.15,0.94
26,0.142,0.932
27,0.136,0.923
28,0.132,0.912
29,0.13,0.901
30,0.129,0.89
31,0.129,0.877
32,0.131,0.864
33,0.133,0.85
34,0.136,0.836
35,0.14,0.822
36,0.146,0.807
37,0.153,0.791
38,0.162,0.775
39,0.175,0.758
40,0.19,0.74
41,0.209,0.72
42,0.231,0.7
43,0.255,0.68
44,0.28,0.659
45,0.308,0.639
46,0.337,0.62
47,0.366,0.601
48,0.397,0.583
49,0.429,0.566
50,0.461,0.549
51,0.493,0.533
52,0.527,0.518
53,0.56,0.502
54,0.593,0.487
55,0.626,0.471
56,0.659,0.454
57,0.691,0.436
58,0.722,0.418
59,0.753,0.399
60,0.785,0.379
61,0.816,0.36
62,0.848,0.34
63,0.88,0.321
64,0.911,0.302
65,0.94,0.283
66,0.965,0.264
67,0.986,0.246
68,1.0,0.228
69,1.0,0.211
70,1.0,0.196
71,1.0,0.182
72,1.0,0.169
73,0.993,0.159
74,0.975,0.152
75,0.954,0.146
76,0.93,0.142
77,0.904,0.139
78,0.879,0.137
79,0.854,0.136
80,0.83,0.134
81,0.804,0.132
82,0.777,0.129
83,0.746,0.124
84,0.711,0.116
85,0.672,0.105
86,0.628,0.092
87,0.58,0.078
88,0.528,0.063
89,0.472,0.049
90,0.413,0.035
91,0.352,0.023
92,0.291,0.013
93,0.232,0.006
94,0.179,0.001
95,0.131,-0.0
96,0.091,0.002
97,0.058,0.007
98,0.032,0.012
99,0.013,0.018
100,0.0,0.022
