Frame,x,y
1,0.467,0.076
2,0.467,0.072
3,0.467,0.068
4,0.465,0.069
5,0.464,0.064
6,0.465,0.061
7,0.469,0.062
8,0.478,0.057
9,0.496,0.048
10,0.522,0.044
11,0.554,0.044
12,0.59,0.041
13,0.628,0.038
14,0.668,0.04
15,0.709,0.045
16,0.756,0.06
17,0.807,0.087
18,0.861,0.125
19,0.909,0.168
20,0.944,0.217
21,0.971,0.28
22,0.991,0.365
23,1.0,0.473
24,0.99,0.578
25,0.952,0.71
26,0.919,0.788
27,0.848,0.849
28,0.74,0.942
29,0.656,0.977
30,0.537,1.0
31,0.429,0.998
32,0.357,0.975
33,0.267,0.94
34,0.177,0.894
35,0.109,0.837
36,0.06,0.782
37,0.018,0.717
38,0.001,0.641
39,0.016,0.567
40,0.025,0.483
41,0.06,0.431
42,0.102,0.379
43,0.121,0.331
44,0.162,0.281
45,0.231,0.233
46,0.301,0.193
47,0.371,0.163
48,0.442,0.142
49,0.505,0.127
50,0.557,0.121
51,0.606,0.118
52,0.646,0.123
53,0.667,0.126
54,0.68,0.123
55,0.692,0.12
56,0.682,0.125
57,0.646,0.129
58,0.625,0.126
59,0.622,0.125
60,0.571,0.111
61,0.513,0.098
62,0.451,0.087
63,0.382,0.075
64,0.322,0.06
65,0.272,0.042
66,0.229,0.024
67,0.198,0.01
68,0.179,0.001
69,0.185,0.0
70,0.241,0.006
71,0.297,0.017
72,0.36,0.029
73,0.434,0.049
74,0.445,0.052
75,0.474,0.064
76,0.542,0.083
77,0.597,0.091
78,0.643,0.098
79,0.671,0.1
80,0.689,0.106
81,0.696,0.114
82,0.694,0.125
83,0.651,0.153
84,0.6,0.175
85,0.552,0.193
86,0.495,0.227
87,0.436,0.271
88,0.377,0.313
89,0.337,0.342
90,0.339,0.341
91,0.313,0.35
92,0.307,0.345
93,0.308,0.342
94,0.312,0.336
95,0.319,0.327
96,0.333,0.326
97,0.351,0.329
98,0.367,0.325
99,0.391,0.324
100,0.408,0.329
