Frame,x,y
1,0.936,-0.0
2,0.935,0.001
3,0.934,0.002
4,0.933,0.003
5,0.933,0.003
6,0.934,0.002
7,0.937,0.0
8,0.941,0.0
9,0.946,0.0
10,0.952,0.0
11,0.959,0.0
12,0.965,0.011
13,0.97,0.033
14,0.973,0.065
15,0.976,0.101
16,0.978,0.137
17,0.979,0.168
18,0.979,0.189
19,0.979,0.195
20,0.978,0.189
21,0.977,0.177
22,0.977,0.167
23,0.977,0.167
24,0.978,0.185
25,0.981,0.226
26,0.985,0.289
27,0.99,0.367
28,0.994,0.453
29,0.998,0.54
30,1.0,0.621
31,1.0,0.69
32,0.997,0.745
33,0.992,0.789
34,0.984,0.821
35,0.972,0.843
36,0.956,0.856
37,0.936,0.86
38,0.915,0.86
39,0.895,0.856
40,0.878,0.851
41,0.866,0.848
42,0.862,0.849
43,0.866,0.854
44,0.874,0.861
45,0.881,0.866
46,0.882,0.867
47,0.874,0.858
48,0.85,0.838
49,0.812,0.807
50,0.766,0.769
51,0.718,0.73
52,0.676,0.696
53,0.646,0.673
54,0.633,0.664
55,0.637,0.669
56,0.649,0.679
57,0.66,0.689
58,0.661,0.689
59,0.645,0.674
60,0.604,0.636
61,0.541,0.578
62,0.463,0.507
63,0.38,0.429
64,0.298,0.352
65,0.227,0.283
66,0.172,0.226
67,0.134,0.183
68,0.108,0.151
69,0.094,0.129
70,0.087,0.115
71,0.085,0.109
72,0.085,0.107
73,0.087,0.109
74,0.089,0.111
75,0.09,0.113
76,0.088,0.112
77,0.083,0.107
78,0.075,0.096
79,0.063,0.085
80,0.051,0.078
81,0.038,0.078
82,0.026,0.09
83,0.017,0.119
84,0.01,0.162
85,0.006,0.212
86,0.003,0.262
87,0.001,0.304
88,0.0,0.329
89,-0.0,0.332
90,0.0,0.316
91,0.0,0.294
92,0.0,0.28
93,0.0,0.285
94,-0.0,0.322
95,0.001,0.402
96,0.003,0.516
97,0.005,0.648
98,0.008,0.784
99,0.01,0.906
100,0.011,1.0
